,id,name_x,artist_ids,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,title,rank,date,artist,region,streams,DATE,Year,name_y
0,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,['2BTZIqw0ntH9MvilQ3ewNY'],False,0.71,0.799,-4.897,0.0328,0.22,0.000602,0.349,0.725,120.372,238267,1983,Girls Just Want to Have Fun,197,2017-01-01,Cyndi Lauper,United Kingdom,25176.0,2017-01-01,2017,Girls Just Want to Have Fun
106,3jRHehB5ulTMKfK5WaqDqc,What’s New,['181bsRPaVXVlUKXrxwZfHK'],True,0.934,0.873,-4.707,0.309,0.00488,0.0,0.0832,0.721,139.997,155090,2020,What’s New,83,2020-11-20,Megan Thee Stallion,United States,362293.0,2020-11-20,2020,What’s New
108,1ZynYY8BPvWnx7t1EGwrPs,Outside,['181bsRPaVXVlUKXrxwZfHK'],True,0.8640000000000001,0.841,-2.775,0.278,0.0242,0.0,0.0748,0.713,168.002,151991,2020,Outside,194,2020-11-20,Megan Thee Stallion,United States,234781.0,2020-11-20,2020,Outside
109,7yiSvALPjMrBLDDrbcDRNy,Girls in the Hood,['181bsRPaVXVlUKXrxwZfHK'],True,0.821,0.816,-3.835,0.352,0.0071099999999999,0.0,0.0645,0.797,179.97400000000005,154389,2020,Girls in the Hood,171,2020-12-01,Megan Thee Stallion,United States,235626.0,2020-12-01,2020,Girls in the Hood
183,2rtDTRFjBoqyj2rgi5mOAF,We've Got It Goin' On - Radio Edit,['5rSXSAkZ67PYJSvpUpkOr7'],False,0.758,0.875,-4.518,0.0363,0.0851,0.0,0.2269999999999999,0.91,112.966,219467,1996,We've Got It Goin' On - Radio Edit,177,2019-03-01,Backstreet Boys,Chile,23231.0,2019-03-01,2019,We've Got It Goin' On - Radio Edit
184,1nRwyxNsqCLeA17qR8Nfxx,Quit Playing Games (With My Heart),['5rSXSAkZ67PYJSvpUpkOr7'],False,0.8,0.875,-4.952,0.0338,0.0615,2.79e-06,0.13,0.882,100.033,233533,1996,Quit Playing Games (With My Heart),83,2019-03-01,Backstreet Boys,Chile,44607.0,2019-03-01,2019,Quit Playing Games (With My Heart)
188,00WvmRXTkPBZNhhRK3xfdy,As Long as You Love Me,['5rSXSAkZ67PYJSvpUpkOr7'],False,0.775,0.816,-5.534,0.0281,0.1639999999999999,0.0,0.126,0.753,98.219,214333,1996,As Long as You Love Me,163,2019-03-01,Backstreet Boys,Bolivia,1465.0,2019-03-01,2019,As Long as You Love Me
209,1btqbebzIS2IK0QkRUpShJ,Get Down (You're the One for Me) - LP Edit No Rap,['5rSXSAkZ67PYJSvpUpkOr7'],False,0.7759999999999999,0.944,-4.854,0.0404,0.073,0.0,0.0866,0.757,113.012,230733,1996,Get Down (You're the One for Me) - LP Edit No Rap,195,2019-03-01,Backstreet Boys,Chile,21229.0,2019-03-01,2019,Get Down (You're the One for Me) - LP Edit No Rap
215,1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),"['6eUKZXaKkcviH0Ku9w2n3V', '0Y5tJX1MQlPlqiwlOH1tJY']",False,0.716,0.823,-5.313,0.0495,0.132,0.0,0.361,0.91,151.957,161747,2019,Antisocial (with Travis Scott),21,2019-08-01,Ed Sheeran,Australia,117625.0,2019-08-01,2019,Antisocial (with Travis Scott)
2774,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"['0EmeFodog0BfCgMzAIvKQp', '7aBzpmFXB4WWpPl2F7RjBe']",False,0.778,0.8240000000000001,-5.892,0.0712,0.284,0.0,0.405,0.7559999999999999,100.024,218093,2005,Hips Don't Lie (feat. Wyclef Jean),138,2017-01-01,Shakira,Denmark,7356.0,2017-01-01,2017,Hips Don't Lie (feat. Wyclef Jean)
3555,4viLaKGdHwhW8LkZB3mRFC,I CAN'T STOP ME - English Version,['7n2Ycct7Beij7Dj7meI4X0'],False,0.645,0.8809999999999999,-3.459,0.107,0.173,0.0,0.4270000000000001,0.76,149.959,205485,2020,I CAN'T STOP ME - English Version,110,2020-12-01,TWICE,Philippines,39346.0,2020-12-01,2020,I CAN'T STOP ME - English Version
3559,3FQCJI2t5LTbsRPfYVBSVB,Battle Symphony,['6XyY86QOPPrYVGvF9ch6wz'],False,0.653,0.8390000000000001,-5.077,0.0685,0.0369,0.0,0.068,0.669,149.034,216281,2017,Battle Symphony,187,2017-08-01,Linkin Park,Austria,1748.0,2017-08-01,2017,Battle Symphony
4064,6xrjIHbm6ga5J8HhOS2Rmn,LAST PIECE,['6nfDaffa50mKtEOwR8g4df'],False,0.715,0.866,-5.505,0.148,0.0324,0.0,0.109,0.688,98.034,222120,2020,LAST PIECE,74,2020-12-01,GOT7,Malaysia,11972.0,2020-12-01,2020,LAST PIECE
4106,1hcdSZ6FasEAByx6BrjGXY,1+1,['6nfDaffa50mKtEOwR8g4df'],False,0.7170000000000001,0.863,-6.263,0.0486,0.141,3.94e-06,0.218,0.82,144.016,194961,2020,1+1,185,2020-11-30,GOT7,Thailand,7672.0,2020-11-30,2020,1+1
4107,2Efpgql2LGwTC3TGEed2ol,I Mean It,['6nfDaffa50mKtEOwR8g4df'],False,0.855,0.809,-4.973,0.0639,0.00807,0.0007469999999999,0.293,0.667,123.999,180803,2020,I Mean It,180,2020-12-01,GOT7,Thailand,7566.0,2020-12-01,2020,I Mean It
4108,4T7fVWFjYNwkuCKRpKXVeB,#Askip,['7lMgpN1tEBQKpRoUMKB8iw'],False,0.7,0.807,-6.051,0.124,0.0156,0.0,0.141,0.713,128.02200000000002,233147,2016,#Askip,195,2017-01-01,Black M,France,14496.0,2017-01-01,2017,#Askip
4126,3N18UD3tL8TPKsiUWN9YRR,Comme moi (feat. Shakira),"['7lMgpN1tEBQKpRoUMKB8iw', '0EmeFodog0BfCgMzAIvKQp']",False,0.667,0.882,-4.73,0.24,0.291,0.0,0.136,0.652,191.991,188200,2016,Comme moi (feat. Shakira),162,2017-06-04,Black M,France,18597.0,2017-06-04,2017,Comme moi (feat. Shakira)
4231,2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",['0EmeFodog0BfCgMzAIvKQp'],False,0.7929999999999999,0.8320000000000001,-4.862,0.0406,0.236,1.12e-05,0.2019999999999999,0.872,107.661,196160,2001,"Whenever, Wherever",137,2020-02-03,Shakira,United States,256829.0,2020-02-03,2020,"Whenever, Wherever"
4234,4U34WsyOvppOMnRfq7DuOy,Night Crawling (feat. Billy Idol),"['5YGY8feqx7naU7z4HrwZM6', '7lzordPuZEXxwt9aoVZYmG']",False,0.638,0.918,-4.368,0.0382,0.0378,0.00805,0.0948,0.6679999999999999,134.02200000000002,189013,2020,Night Crawling (feat. Billy Idol),199,2020-12-01,Miley Cyrus,Ireland,5682.0,2020-12-01,2020,Night Crawling (feat. Billy Idol)
4312,1FgmP7AOTcn7MGYmImj0kn,Ain't Gonna Die Tonight (feat. Eric Nally),"['3JhNCzhSMTxs9WLGJJxWOY', '3NoeRIxHApi6qe4yan2Vnn']",True,0.687,0.768,-5.579,0.14,0.2319999999999999,0.0,0.118,0.865,81.977,214720,2017,Ain't Gonna Die Tonight (feat. Eric Nally),136,2018-04-04,Macklemore,Ireland,4983.0,2018-04-04,2018,Ain't Gonna Die Tonight (feat. Eric Nally)
4412,2eucFttlfFNX5fRD78JBdI,Firebreather (feat. Reignwolf),"['3JhNCzhSMTxs9WLGJJxWOY', '66YGDwn22fjphzqGCSIbbK']",True,0.701,0.8390000000000001,-5.072,0.201,0.158,0.0,0.0604,0.833,90.04899999999998,205533,2017,Firebreather (feat. Reignwolf),158,2017-09-22,Macklemore,Austria,2578.0,2017-09-22,2017,Firebreather (feat. Reignwolf)
4417,2msjqUjA6Eg5TI2M5EwJ8A,100% Você,['1bhqpMFFgoa0NTz82BprgL'],False,0.635,0.939,-3.405,0.0749,0.151,0.0,0.939,0.7240000000000001,118.476,243107,2004,100% Você,160,2019-03-03,Chiclete Com Banana,Brazil,71967.0,2019-03-03,2019,100% Você
4427,0AKwYorDdgm3NtusTmPlkn,Blue Strips,['7d3WFRME3vBY2cgoP38RDo'],True,0.7759999999999999,0.7759999999999999,-6.3660000000000005,0.316,0.102,0.0,0.138,0.68,161.983,207465,2019,Blue Strips,96,2019-03-01,Lil Skies,United States,400617.0,2019-03-01,2019,Blue Strips
4432,49ImM4CYsEL5KG1hzUaCzq,Mansion,['7d3WFRME3vBY2cgoP38RDo'],True,0.71,0.7959999999999999,-6.365,0.261,0.0236,0.0,0.152,0.733,159.951,153078,2019,Mansion,175,2019-03-01,Lil Skies,United States,283484.0,2019-03-01,2019,Mansion
4433,6pVW5LRWgeLaHudxauOTJU,Jingle Bell Rock - Daryl's Version,['77tT1kLj6mCWtFNqiOmP9H'],False,0.6659999999999999,0.841,-3.592,0.0312,0.613,0.0,0.113,0.84,128.70600000000002,126360,1983,Jingle Bell Rock - Daryl's Version,84,2018-12-01,Daryl Hall & John Oates,Australia,50822.0,2018-12-01,2018,Jingle Bell Rock - Daryl's Version
6586,5HjIGzesTt8dwTgy8z7KRf,Stupid Man,['2ytaRjGwyS3veZwsmr0SPj'],False,0.6779999999999999,0.875,-4.92,0.0273,0.0453,1.73e-05,0.38,0.758,124.66,206600,1994,Stupid Man,200,2020-05-02,Thomas Helmig,Denmark,8707.0,2020-05-02,2020,Stupid Man
6723,0tDSgSmZsbxCkdkfUPjg59,5 Letras,['7tU1VKOuxiNZwBZC6RHidA'],False,0.82,0.7879999999999999,-5.478,0.191,0.272,1.65e-06,0.0404,0.648,93.961,195573,2007,5 Letras,186,2018-06-01,Alexis y Fido,Paraguay,1088.0,2018-06-01,2018,5 Letras
6946,4ZQPhVDZ9gJCSVTihssMMr,Si no me dan de beber lloro,['6nnspeopmJAG07xOxHmqTu'],False,0.655,0.809,-3.474,0.0424,0.647,2.15e-06,0.195,0.961,98.307,227827,1973,Si no me dan de beber lloro,174,2018-12-24,El Gran Combo De Puerto Rico,Panama,1446.0,2018-12-24,2018,Si no me dan de beber lloro
6953,78pn8k7RogKo2oxl0DyX6d,One More Sleep,['5lKZWd6HiSCLfnDGrq9RAm'],False,0.638,0.813,-3.849,0.0362,0.4639999999999999,0.0,0.344,0.754,112.986,239587,2013,One More Sleep,66,2018-12-01,Leona Lewis,Ireland,13505.0,2018-12-01,2018,One More Sleep
